nombre_cancion,anio,mes,reproducciones,likes
Caída Libre,2025,Noviembre,1763,3450
Llama Azul,2020,Abril,3902,2347
Caos,2018,Enero,2614,1086
Callejón,2024,Marzo,3078,2989
Desconexión,2018,Agosto,1904,2837
Sin Mirar Atrás,2022,Junio,1281,586
Sombras II,2016,Junio,2604,3732
Sin Control,2017,Abril,1341,3070
Tensión,2024,Enero,2604,4653
Ecos,2022,Octubre,1861,1593
Despierta,2022,Diciembre,1130,3359
Fragmentada,2016,Marzo,1949,1031
Claroscuro,2024,Junio,2418,1272
Renacer,2023,Enero,239,4079
Laberinto,2025,Diciembre,43,1682
Desfase,2016,Julio,4291,2596
Tiempo Muerto,2018,Mayo,775,449
Instinto,2015,Abril,1490,2658
Ausencia,2015,Junio,662,3936
Eco Final,2022,Enero,4150,2812
Horizonte Rojo,2021,Diciembre,1876,1330
Punto Final,2015,Septiembre,4557,4738
Ciudad Rota,2016,Agosto,113,4078
Caos,2024,Abril,3898,347
Fuego Interno,2022,Junio,4973,881
Caos,2024,Agosto,2569,603
Colisión,2017,Septiembre,2801,1667
Fuego Interno,2022,Julio,177,4037
Pálpito,2019,Enero,4369,619
Cicatrices,2017,Agosto,4339,460
Mil Vidas,2018,Noviembre,2248,3651
Caos,2015,Febrero,3677,3642
Intermitente,2016,Abril,3417,1152
Desorden,2018,Febrero,708,3250
Lluvia de Estrellas,2023,Julio,3576,1776
Nostalgia,2015,Marzo,4033,3914
Cenizas,2016,Julio,770,2793
Ruido Blanco,2017,Julio,3904,196
Latidos,2019,Agosto,3931,1393
A Contraluz,2016,Marzo,4443,1432
Inercia,2015,Septiembre,736,268
Ecos,2025,Marzo,551,3342
Latente,2017,Marzo,653,3671
Al Límite,2015,Marzo,1436,587
Mil Vidas,2015,Junio,4214,3622
Cicatrices,2019,Noviembre,3334,609
Instinto,2020,Febrero,2149,4439
Fragmentada,2024,Agosto,2434,1945
Voces,2015,Junio,4716,329
Despierto,2018,Enero,2461,344
Fragmentada,2024,Febrero,1616,1288
Punto Final,2018,Enero,2047,4258
Sombras del Ayer,2017,Junio,4966,3528
Punto Ciego,2018,Julio,1232,229
Contratiempo,2024,Marzo,1872,2360
Lluvia de Estrellas,2017,Enero,4708,3996
A Contraluz,2016,Abril,1446,1818
Lento Adiós,2017,Septiembre,4471,239
Callejón,2019,Marzo,2370,742
Sin Control,2022,Mayo,3490,2629
Eco Final,2015,Junio,1039,4119
Cenizas,2021,Febrero,1189,3506
Horizonte Rojo,2019,Marzo,169,2353
Callejón,2021,Septiembre,694,4419
Eco Final,2016,Mayo,4131,3638
Mirada Fría,2015,Diciembre,3470,4925
Sutil,2015,Mayo,946,4758
Contratiempo,2017,Enero,2512,831
A Contraluz,2015,Mayo,755,412
Punto Ciego,2025,Marzo,330,2109
Ciudad Rota,2018,Septiembre,4781,4472
Instante,2025,Octubre,3900,4980
Gravedad,2023,Abril,4788,515
Espiral,2015,Diciembre,1819,675
Resonancia,2024,Febrero,2798,549
Al Límite,2017,Mayo,4945,2107
Eterno,2020,Diciembre,3759,74
Cenizas,2024,Abril,3167,4453
Vértice,2019,Noviembre,1822,4946
Desvelo,2024,Junio,3563,2700
Caos,2021,Julio,3933,33
Colisión,2017,Octubre,2420,4536
Renacer,2023,Enero,1521,396
Cenizas,2022,Abril,2949,2333
Repetición,2023,Mayo,3680,3015
Resonancia,2022,Abril,40,2849
A Contraluz,2015,Enero,552,322
Desorden,2024,Marzo,4235,3353
Laberinto,2015,Septiembre,3214,3562
A Contrarreloj,2017,Marzo,2491,2390
Antes del Silencio,2023,Abril,2728,559
Lento Adiós,2024,Mayo,372,4901
Punto Final,2016,Agosto,2707,978
Después de Ti,2015,Mayo,4502,4806
Horizonte,2025,Marzo,3124,3727
Corazón Eléctrico,2023,Mayo,1655,2890
Alma Libre,2021,Mayo,3476,574
Renacer,2018,Enero,4271,3596
Reinicio,2023,Octubre,3559,1421
Inercia,2025,Agosto,647,1811
Horizonte Rojo,2024,Diciembre,247,3799
Nostalgia,2017,Mayo,1872,4697
Fuego Interno,2015,Octubre,2064,1237
Desconexión,2019,Diciembre,3049,4098
Ritmo Urbano,2019,Diciembre,1705,4584
Renacer,2017,Mayo,3875,3780
Recuerdos,2016,Marzo,2423,1328
Latente,2015,Noviembre,4126,2550
Espiral,2019,Septiembre,1656,2817
Fragmentos,2019,Enero,3346,4648
Tiempo Muerto,2021,Septiembre,4649,788
Repetición,2019,Mayo,3575,2192
Instante,2022,Mayo,1894,4581
Contratiempo,2018,Abril,3085,2843
Reinicio,2019,Septiembre,3046,2762
Mirada Fría,2017,Noviembre,336,1565
Colisión,2016,Enero,2281,4840
Pecado,2017,Abril,2603,2688
Desorden,2024,Abril,1528,188
Pálpito,2016,Diciembre,2595,921
Llama Azul,2024,Enero,2890,1723
Corazón Eléctrico,2016,Noviembre,4132,4020
Instante,2016,Abril,958,2402
Distancia,2020,Enero,2775,827
Sin Control,2020,Junio,4601,3433
Eterno,2016,Mayo,4936,1967
Instinto,2020,Julio,4181,2111
Desvelo,2019,Enero,3927,1055
Lluvia de Estrellas,2022,Agosto,1354,488
Punto Ciego,2025,Diciembre,1442,1357
Alma Libre,2023,Marzo,4536,4204
A Media Luz,2024,Julio,4166,2417
Latente,2019,Julio,27,3098
Noches de Neón,2016,Septiembre,2038,63
Mil Vidas,2022,Febrero,1394,1712
Siluetas,2019,Febrero,113,3017
Mil Vidas,2015,Octubre,1061,1348
Punto Ciego,2022,Julio,2597,3176
Inercia,2016,Febrero,3428,4422
Pecado,2018,Noviembre,2914,1863
Instinto,2022,Agosto,3853,4342
Alma Libre,2025,Septiembre,4859,1052
Claroscuro,2022,Julio,1507,2753
Última Vez,2020,Noviembre,820,1994
Último Latido,2017,Mayo,4871,2436
Pálpito,2020,Agosto,4842,4944
Pulso,2025,Septiembre,4260,3551
Ciudad Rota,2024,Mayo,3167,3711
Desvelo II,2019,Diciembre,3133,1895
Desorden,2018,Junio,2739,731
Fragmentos,2022,Diciembre,1523,1530
Pecado,2016,Marzo,2470,920
Fantasmas,2016,Diciembre,2335,4950
Callejón,2018,Marzo,1690,3339
Fragmentada,2017,Agosto,2130,3193
Sin Filtro,2019,Julio,3810,947
Sin Filtro,2018,Mayo,193,2739
Desconexión,2024,Febrero,1967,639
Último Latido,2017,Diciembre,1745,4254
Corazón Eléctrico,2023,Septiembre,3430,772
Vértice,2015,Enero,3289,2458
Vértigo,2022,Mayo,2763,4710
Destino Cruzado,2015,Octubre,338,3974
Pálpito,2020,Octubre,2545,3587
Vértigo,2017,Noviembre,3682,4319
Pecado,2021,Febrero,134,1086
Desvelo,2015,Octubre,2673,2883
Desfase,2017,Abril,457,1324
Tensión,2018,Febrero,3753,2259
Cenizas,2024,Octubre,3504,361
Despierto,2025,Octubre,3397,4434
Última Vez,2017,Julio,4101,3659
Contratiempo,2025,Mayo,1060,3819
Pálpito,2022,Junio,3819,4349
Tiempo Muerto,2016,Junio,2983,561
Laberinto,2015,Octubre,504,4025
Caos,2017,Agosto,4925,2970
Pulso Final,2020,Septiembre,1774,2773
Callejón,2017,Mayo,2087,2113
Desfase,2022,Octubre,4544,1251
Contratiempo,2025,Noviembre,8,2094
Desvelo,2024,Agosto,332,2502
Inercia,2025,Octubre,206,2984
Vértigo,2018,Mayo,842,4085
Ritmo Urbano,2021,Abril,1501,4251
Caos,2016,Diciembre,3884,3442
Siluetas,2021,Junio,1926,1566
Ecos,2025,Agosto,3875,939
Fuego Interno,2015,Febrero,204,2858
Desorden,2023,Agosto,1085,2282
Despierta,2020,Mayo,1100,3573
Desorden,2024,Junio,155,1066
Nostalgia,2024,Mayo,4305,1287
Callejón,2018,Abril,190,3482
Fuego Interno,2015,Febrero,2332,3305
Horizonte Rojo,2024,Septiembre,356,3839
Pálpito,2020,Febrero,54,4543
Desconexión,2021,Junio,1896,2596
A Contrarreloj,2023,Octubre,293,2343
Después de Ti,2022,Junio,3478,3244
Entre Sombras,2025,Agosto,4561,3185
Ruido Blanco,2016,Diciembre,3259,4358
Lento Adiós,2016,Julio,1720,0
Corazón Eléctrico,2025,Abril,4166,3703
Desfase,2020,Noviembre,1308,3616
A Media Luz,2020,Agosto,4336,822
Instinto,2016,Octubre,3045,2311
Pulso,2021,Febrero,1022,239
Contratiempo,2025,Septiembre,1576,3668
Latente,2019,Septiembre,4024,2985
Sombras del Ayer,2019,Julio,4136,3718
Espiral,2019,Julio,419,937
Desorden,2017,Mayo,2498,3715
Eterno,2025,Marzo,1779,1342
Última Vez,2021,Junio,1005,1034
Punto Final,2015,Julio,2,659
Sin Filtro,2015,Julio,2366,1205
Reinicio,2025,Mayo,2526,492
Laberinto,2017,Diciembre,333,4258
Al Límite,2021,Enero,1449,3615
Niebla,2020,Enero,1711,3131
Vértigo,2023,Diciembre,593,4161
Horizonte Rojo,2021,Diciembre,2773,3781
Equilibrio,2020,Mayo,356,2285
Sombras del Ayer,2021,Mayo,1289,4532
Cenizas,2016,Enero,1030,3373
Desorden,2022,Junio,4870,1295
Siluetas,2015,Agosto,2582,125
Intermitente,2020,Junio,610,4378
Último Latido,2018,Febrero,2138,570
Instante,2021,Mayo,355,3940
Fragmentada,2020,Agosto,3824,1491
Desvelo II,2017,Julio,568,3491
Llama Azul,2015,Abril,2408,4780
Siluetas,2023,Septiembre,3030,3541
Instante,2020,Octubre,3844,3449
Niebla,2016,Septiembre,4576,3531
Pulso,2024,Junio,4416,1297
Espiral,2024,Marzo,1811,4422
Despierto,2023,Mayo,3561,938
Ritmo Urbano,2024,Agosto,1682,3591
Sin Mirar Atrás,2024,Diciembre,3317,3603
Corazón Eléctrico,2015,Septiembre,1561,3187
Marea Alta,2017,Septiembre,4980,1276
Fantasmas,2021,Febrero,2000,3363
Tensión,2015,Mayo,3492,2853
Claroscuro,2020,Junio,58,2959
Desfase,2024,Octubre,4226,1470
Gravedad,2025,Abril,3264,3036
Cicatrices,2023,Agosto,3096,4836
Resonancia,2015,Mayo,3676,391
Lluvia de Estrellas,2021,Enero,1680,3613
Sombras II,2015,Enero,4378,4732
Corazón Eléctrico,2021,Agosto,3303,494
Eterno,2025,Julio,2691,15
Horizonte Rojo,2025,Marzo,2758,561
Llama Azul,2021,Abril,1121,2798
Pecado,2020,Agosto,1915,1817
Antes del Silencio,2020,Septiembre,708,2809
Ritmo Urbano,2017,Diciembre,2190,1003
Eco Final,2023,Enero,883,1464
Gravedad,2022,Febrero,3598,1802
Tensión,2020,Junio,2711,1447
Retroceso,2016,Septiembre,4470,3797
Vértice,2023,Agosto,549,753
Alma Libre,2024,Noviembre,4821,453
Ciudad Rota,2019,Septiembre,3015,4845
Desconexión,2022,Junio,3265,1165
Desvelo II,2015,Octubre,2353,2291
Voces,2022,Abril,4262,1358
Desconexión,2025,Noviembre,2437,4501
Inercia,2024,Junio,173,547
Pulso Final,2021,Diciembre,1271,1050
A Contrarreloj,2016,Octubre,2859,4293
Vértigo,2019,Enero,3248,2192
Caos,2019,Mayo,4371,1258
Destino Cruzado,2020,Junio,795,3635
Desvelo,2025,Septiembre,2816,2451
A Contraluz,2016,Noviembre,4309,2015
Desvelo,2018,Diciembre,1951,1677
Distancia,2023,Abril,1825,4889
Pálpito,2025,Mayo,1114,3266
Caos,2024,Marzo,1761,185
Antes del Silencio,2019,Julio,395,157
Sutil,2020,Enero,4840,1938
Caos,2024,Diciembre,3221,1354
Equilibrio,2021,Enero,123,3813
Tensión,2021,Junio,503,3757
Desfase,2021,Junio,899,1160
A Contrarreloj,2024,Febrero,602,4465
Fragmentada,2017,Marzo,27,4293
Eterno,2016,Julio,1389,2038
Pulso Final,2017,Marzo,289,1924
Pulso Final,2018,Febrero,2881,1522
Punto Ciego,2019,Mayo,2315,2287
Inercia,2020,Octubre,4158,4807
Al Límite,2024,Junio,2635,4806
Voces,2018,Diciembre,1957,3922
Eco Final,2017,Marzo,3942,2436
Despierta,2024,Marzo,3605,301
Después de Ti,2021,Julio,3723,57
Espiral,2024,Enero,3290,4827
Cenizas,2015,Enero,1975,1875
Marea Alta,2025,Mayo,1546,775
Repetición,2017,Mayo,2397,587
Punto Final,2021,Junio,1545,1908
Callejón,2020,Marzo,1507,3342
Nostalgia,2023,Junio,2406,4936
Instante,2021,Junio,342,3144
Vértigo,2022,Junio,3646,2560
Después de Ti,2021,Septiembre,4564,1779
Al Límite,2025,Junio,587,3398
Colisión,2025,Octubre,2287,1769
Marea Alta,2021,Mayo,4457,3576
Lento Adiós,2016,Marzo,2614,3520
Caos,2018,Mayo,2605,2759
Lluvia de Estrellas,2019,Marzo,3154,4959
Desconexión,2020,Septiembre,1911,1601
Alma Libre,2024,Julio,1711,3567
Instinto,2022,Junio,832,4280
Contratiempo,2017,Enero,1709,3648
Sombras II,2024,Junio,4383,3137
Ritmo Urbano,2019,Octubre,4999,2437
Latente,2021,Marzo,4980,2628
Cenizas,2022,Abril,3285,196
Desvelo,2024,Enero,2447,2024
Caos,2021,Abril,2764,272
Entre Sombras,2018,Enero,451,1380
Eterno,2015,Marzo,1675,3835
Intermitente,2021,Enero,4678,3887
Recuerdos,2018,Febrero,3870,4427
Caos,2015,Julio,625,67
Intermitente,2021,Agosto,1538,2887
Recuerdos,2021,Marzo,1638,764
Marea Alta,2024,Diciembre,199,2892
Después de Ti,2021,Octubre,3437,2846
Instinto,2015,Septiembre,330,3527
Mirada Fría,2015,Febrero,3955,694
Ausencia,2023,Noviembre,2359,1246
Sin Mirar Atrás,2021,Noviembre,4506,853
Fragmentada,2017,Junio,875,3596
Voces,2022,Septiembre,4232,510
Despierta,2016,Julio,2270,723
Al Límite,2020,Julio,1008,1509
Voces,2015,Abril,4368,69
Desorden,2015,Octubre,1168,3041
Desvelo,2024,Diciembre,1081,2181
Última Vez,2016,Septiembre,4966,4325
Sin Filtro,2016,Marzo,1818,1555
Punto Final,2018,Marzo,590,3058
Repetición,2020,Octubre,1054,986
Fragmentada,2016,Mayo,4589,2587
Niebla,2024,Diciembre,3031,4301
Lluvia de Estrellas,2017,Octubre,4725,1967
Recuerdos,2017,Mayo,1328,2809
Claroscuro,2015,Noviembre,2172,4051
Despierto,2023,Febrero,2144,1259
Horizonte,2023,Agosto,500,1527
A Contraluz,2017,Enero,3850,1230
Desvelo,2015,Diciembre,2198,2765
Desconexión,2024,Diciembre,3585,4846
Colisión,2019,Enero,4220,4914
Callejón,2024,Octubre,4667,4725
Latidos,2022,Agosto,4407,3373
Ritmo Urbano,2016,Abril,4397,1152
Noches de Neón,2025,Febrero,1403,1743
Ausencia,2021,Octubre,4450,64
Desvelo II,2024,Febrero,4776,4404
Pulso,2016,Marzo,3110,3641
Última Vez,2022,Mayo,1004,4946
Vértigo,2021,Diciembre,3816,4769
Sombras del Ayer,2023,Septiembre,2018,18
Caída Libre,2019,Enero,404,29
Cenizas,2023,Abril,3309,4558
Siluetas,2024,Agosto,1467,2581
Ecos,2025,Julio,3631,4030
Sin Filtro,2017,Octubre,4564,2032
Tensión,2023,Agosto,825,4930
Callejón,2020,Septiembre,1501,442
Voces,2023,Marzo,3872,1630
Ecos,2022,Junio,1083,1773
Despierta,2025,Septiembre,4454,1840
Al Límite,2020,Octubre,3468,3585
Despierta,2021,Marzo,2748,1095
A Media Luz,2024,Abril,3200,3016
Inercia,2018,Febrero,2102,1346
Destino Cruzado,2018,Julio,3115,4809
Pulso,2024,Noviembre,4072,838
Sombras del Ayer,2017,Marzo,1857,4149
Horizonte Rojo,2019,Enero,4639,6
Gravedad,2019,Septiembre,1945,1631
Ruido Blanco,2015,Mayo,1505,1394
Inercia,2016,Mayo,926,1212
Mil Vidas,2022,Septiembre,3217,2633
Oscuridad Total,2018,Mayo,3054,2491
Callejón,2025,Agosto,1121,2336
Fantasmas,2024,Agosto,4641,2151
Mirada Fría,2020,Abril,2131,1399
Cicatrices,2022,Enero,3916,4535
Marea Alta,2018,Noviembre,318,4453
Eco Final,2022,Febrero,3921,2403
Último Latido,2020,Febrero,4852,2221
Vértice,2024,Diciembre,2573,4577
Colisión,2021,Septiembre,3890,1638
Ritmo Urbano,2023,Marzo,3312,3871
Fantasmas,2015,Marzo,2449,1206
Espiral,2023,Noviembre,2861,1541
Desvelo,2020,Julio,4809,2730
Cicatrices,2019,Noviembre,781,1313
Pulso Final,2020,Octubre,1526,4201
Sin Filtro,2021,Septiembre,2199,1821
A Media Luz,2015,Julio,869,1380
Desvelo II,2021,Abril,1867,1718
Nostalgia,2017,Octubre,23,2967
Fragmentos,2024,Septiembre,3780,2268
Pulso Final,2016,Julio,4957,1564
Vértigo,2023,Enero,1404,3969
Ecos,2019,Octubre,2201,4567
Repetición,2021,Febrero,1677,2606
Ritmo Urbano,2016,Octubre,3573,4122
Contratiempo,2025,Septiembre,313,2859
Ruido Blanco,2017,Julio,2447,153
Punto Ciego,2022,Junio,3320,4078
Tiempo Muerto,2020,Mayo,3429,1325
Sin Control,2024,Junio,2420,281
Alma Libre,2015,Abril,1079,2409
Vértigo,2025,Noviembre,1424,4945
Ausencia,2020,Enero,2400,1813
Fragmentada,2023,Febrero,4714,2812
Desvelo II,2020,Enero,3409,4779
Tiempo Muerto,2016,Marzo,38,3390
Instinto,2024,Abril,1131,557
Ruido Blanco,2025,Agosto,3696,3055
Entre Sombras,2025,Mayo,1369,153
Reinicio,2016,Septiembre,561,2866
Desorden,2025,Julio,1798,824
Caída Libre,2015,Junio,277,2893
Llama Azul,2016,Agosto,1747,3439
Callejón,2022,Enero,3393,3254
Último Latido,2024,Marzo,4472,97
Equilibrio,2016,Julio,3642,629
Lento Adiós,2018,Octubre,864,1741
Llama Azul,2024,Julio,2731,1014
Ciudad Rota,2021,Diciembre,358,4118
Intermitente,2020,Diciembre,248,2159
Cicatrices,2015,Mayo,533,4074
Claroscuro,2020,Agosto,2108,913
Fuego Interno,2019,Junio,3996,3907
Última Vez,2017,Diciembre,3304,1005
Lento Adiós,2021,Marzo,2750,1744
Fuego Interno,2025,Marzo,937,318
Punto Ciego,2020,Octubre,3181,504
Claroscuro,2021,Julio,2547,3851
Desvelo,2021,Agosto,3305,3091
Entre Sombras,2021,Mayo,4036,2543
Eco Final,2017,Septiembre,3833,3539
Retroceso,2024,Abril,1106,4363
Punto Final,2021,Mayo,428,2229
Después de Ti,2025,Junio,1204,2815
Sin Mirar Atrás,2016,Agosto,3693,1483
Desvelo,2023,Marzo,4440,944
Callejón,2023,Octubre,2974,1518
Laberinto,2017,Noviembre,1939,3187
Tiempo Muerto,2019,Noviembre,2070,2598
Desconexión,2025,Abril,4191,4169
Siluetas,2022,Julio,160,2357
Sin Control,2020,Julio,3585,4012
A Media Luz,2023,Junio,708,2452
Después de Ti,2018,Agosto,216,981
Latidos,2022,Julio,4721,2923
Cenizas,2023,Febrero,2718,891
Equilibrio,2017,Septiembre,1006,546
Pulso,2017,Julio,4244,3618
Siluetas,2017,Junio,4654,1454
Sutil,2020,Abril,983,2633
Cicatrices,2017,Septiembre,1432,4593
Voces,2018,Marzo,826,4871
Recuerdos,2021,Diciembre,4544,4187
Fragmentos,2017,Agosto,3348,1987
Resonancia,2024,Abril,3842,1723
A Contrarreloj,2023,Abril,3167,3432
Vértigo,2022,Abril,3152,3053
Desorden,2024,Octubre,3206,1760
Punto Ciego,2025,Enero,582,340
Corazón Eléctrico,2019,Octubre,3749,1683
Niebla,2022,Julio,1782,657
Cicatrices,2017,Diciembre,3807,135
Caos,2024,Mayo,2504,2703
Desorden,2021,Marzo,1116,491
Distancia,2020,Marzo,2677,4650
Claroscuro,2017,Octubre,1305,4934
Recuerdos,2016,Septiembre,4866,307
Reinicio,2022,Abril,3305,107
Espiral,2019,Septiembre,2263,3855
Repetición,2019,Abril,2745,4656
Intermitente,2023,Marzo,559,2560
Ruido Blanco,2016,Octubre,3681,1880
Marea Alta,2015,Junio,1632,4987
Nostalgia,2015,Agosto,1531,1657
Renacer,2020,Enero,1020,23
Sin Mirar Atrás,2021,Abril,778,4764
Fuego Interno,2019,Junio,3410,1548
Entre Sombras,2019,Diciembre,2508,1817
Entre Sombras,2016,Diciembre,1764,485
Laberinto,2025,Junio,3453,2321
Mil Vidas,2024,Febrero,3752,1526
Sin Control,2019,Agosto,3949,860
Punto Ciego,2020,Enero,3640,38
Noches de Neón,2021,Abril,2517,638
Reinicio,2017,Agosto,1830,2630
Niebla,2023,Febrero,1737,3592
Vértigo,2019,Marzo,4973,1957
Renacer,2015,Agosto,382,317
Antes del Silencio,2017,Marzo,4184,4599
Vértice,2020,Diciembre,3655,4972
Ciudad Rota,2018,Octubre,3182,2314
Lluvia de Estrellas,2022,Enero,2513,3794
Vértice,2016,Octubre,3272,1462
Contratiempo,2024,Noviembre,3808,2093
Sombras del Ayer,2024,Diciembre,2107,3977
Llama Azul,2015,Junio,3218,4568
Fantasmas,2018,Octubre,4424,1664
Renacer,2019,Diciembre,4484,3560
Pecado,2024,Noviembre,602,1981
Horizonte,2015,Junio,4795,4489
Ausencia,2017,Marzo,2283,4950
Ecos,2025,Agosto,526,4024
Ciudad Rota,2017,Febrero,4159,2881
Última Vez,2019,Diciembre,3286,3819
Mil Vidas,2022,Marzo,3058,2929
Desfase,2018,Abril,237,3804
Sombras II,2024,Octubre,2969,2115
Cicatrices,2020,Junio,541,3757
Ruido Blanco,2019,Enero,4466,285
Renacer,2015,Marzo,2349,2504
Caída Libre,2020,Julio,3198,4384
Sombras del Ayer,2021,Julio,4904,4062
Inercia,2016,Noviembre,4045,4308
Mil Vidas,2022,Enero,2153,993
Alma Libre,2018,Febrero,4941,2911
Instante,2020,Junio,3822,2090
Caída Libre,2017,Febrero,2791,1337
Sombras II,2017,Agosto,206,2387
Resonancia,2016,Noviembre,3251,2196
Oscuridad Total,2017,Diciembre,2022,148
Retroceso,2023,Octubre,4610,1978
Intermitente,2019,Abril,4359,4400
Sombras del Ayer,2025,Junio,1393,593
Despierto,2025,Diciembre,4552,4740
Vértigo,2022,Febrero,3855,4277
Cenizas,2021,Mayo,803,3890
Despierto,2023,Abril,4242,1881
Oscuridad Total,2021,Abril,2736,2505
Resonancia,2024,Enero,758,1294
Eco Final,2017,Septiembre,642,1801
Sombras del Ayer,2025,Septiembre,2280,4521
Desconexión,2022,Enero,1225,2762
Niebla,2020,Octubre,4221,2980
Llama Azul,2015,Septiembre,4072,911
Ritmo Urbano,2023,Noviembre,623,1742
Ciudad Rota,2022,Noviembre,691,358
Desvelo II,2023,Julio,3015,4101
Voces,2022,Julio,28,4720
Fragmentos,2019,Marzo,3787,4670
A Contrarreloj,2025,Noviembre,1989,734
Pulso Final,2021,Septiembre,4715,3869
Sin Control,2023,Febrero,2166,545
Recuerdos,2025,Febrero,3026,268
Entre Sombras,2019,Junio,1391,3201
Colisión,2016,Marzo,425,3234
Corazón Eléctrico,2015,Agosto,2027,1018
Contratiempo,2021,Septiembre,2382,834
Ritmo Urbano,2017,Julio,478,1714
A Contrarreloj,2021,Febrero,1516,1452
Voces,2018,Julio,1896,4819
Retroceso,2021,Diciembre,3749,585
Caos,2022,Agosto,2791,2987
Entre Sombras,2022,Octubre,1146,778
Caída Libre,2017,Enero,1424,882
Retroceso,2023,Diciembre,3197,2997
Voces,2025,Octubre,1864,2535
Pulso,2017,Mayo,3390,683
Antes del Silencio,2019,Julio,3910,2825
Fragmentos,2022,Marzo,3610,1168
Llama Azul,2023,Abril,351,5
Ruido Blanco,2020,Marzo,3710,3848
Latidos,2022,Enero,1655,4003
Noches de Neón,2020,Septiembre,1668,3509
Entre Sombras,2019,Junio,687,2328
Caída Libre,2024,Diciembre,522,4157
Lluvia de Estrellas,2022,Julio,2954,4199
Tensión,2024,Enero,4966,4153
Punto Final,2015,Agosto,794,3115
Resonancia,2023,Febrero,4902,2230
Ruido Blanco,2023,Octubre,2498,3054
Mirada Fría,2017,Diciembre,1947,2134
Latente,2023,Abril,1938,1891
Ritmo Urbano,2020,Noviembre,2605,1200
Latidos,2020,Septiembre,4321,1187
Retroceso,2019,Mayo,137,2826
Cenizas,2017,Septiembre,3971,4360
Pulso,2022,Agosto,1756,732
A Contrarreloj,2016,Mayo,3380,4398
Desvelo II,2023,Mayo,2135,3665
Punto Final,2023,Abril,3888,606
Mil Vidas,2018,Diciembre,2057,3525
Antes del Silencio,2024,Marzo,3718,3484
Noches de Neón,2020,Abril,1859,212
Pecado,2017,Junio,1810,390
Horizonte Rojo,2019,Abril,175,3255
Horizonte,2019,Abril,1139,4654
Desorden,2025,Junio,416,4864
Ecos,2016,Septiembre,4231,4626
Marea Alta,2021,Junio,2733,2868
Caída Libre,2016,Noviembre,2167,353
Laberinto,2015,Noviembre,2769,3920
Después de Ti,2021,Junio,4497,4770
Callejón,2021,Octubre,2254,4730
Eterno,2019,Julio,2970,4348
Horizonte Rojo,2019,Octubre,1864,100
Renacer,2015,Diciembre,2649,3528
Horizonte Rojo,2016,Enero,1428,4385
Noches de Neón,2022,Julio,3076,2755
Tensión,2022,Abril,4549,1705
Fantasmas,2020,Mayo,1405,3350
Desconexión,2015,Marzo,4284,4211
Fragmentada,2021,Diciembre,4483,3375
A Contraluz,2023,Octubre,1571,4565
Ausencia,2016,Enero,4047,3344
Pecado,2025,Enero,4436,98
Tiempo Muerto,2019,Julio,3578,3559
Entre Sombras,2020,Abril,621,4933
Equilibrio,2018,Agosto,3403,3079
Punto Ciego,2015,Enero,2000,3942
Colisión,2021,Febrero,4528,504
Lento Adiós,2022,Mayo,2376,1567
Desconexión,2018,Enero,3065,1034
Latidos,2016,Octubre,1389,3380
Espiral,2019,Mayo,4366,1265
Fantasmas,2015,Septiembre,3646,4474
Sombras II,2017,Mayo,1944,4670
Llama Azul,2023,Mayo,2714,1998
Recuerdos,2025,Octubre,4495,2330
Marea Alta,2022,Febrero,592,1522
Instinto,2015,Abril,371,3180
Fuego Interno,2024,Abril,4581,3811
Horizonte,2024,Octubre,2570,3328
Despierto,2020,Marzo,4378,4090
Voces,2024,Noviembre,910,3136
Despierta,2019,Marzo,2262,926
Vértice,2021,Noviembre,1972,890
Sombras del Ayer,2023,Marzo,1632,2814
Instante,2025,Septiembre,525,100
Vértice,2025,Febrero,708,3185
Sin Control,2015,Junio,3027,2434
Después de Ti,2019,Enero,1782,4787
Latidos,2015,Diciembre,1297,4195
Desvelo,2015,Abril,2631,4254
Punto Final,2024,Enero,89,4557
Pulso,2016,Mayo,4144,3119
Desvelo,2015,Noviembre,239,4056
Marea Alta,2021,Mayo,2502,581
Vértigo,2025,Marzo,308,1887
Sin Control,2019,Octubre,4814,1582
Instinto,2017,Julio,4769,4005
Tensión,2024,Agosto,3050,1961
Espiral,2021,Diciembre,4255,2996
Sin Mirar Atrás,2019,Noviembre,13,672
Desfase,2024,Enero,4457,4176
Lento Adiós,2016,Mayo,847,1131
Vértice,2021,Abril,2181,4209
Fantasmas,2016,Enero,1061,2177
Instinto,2019,Junio,2992,4826
Alma Libre,2022,Mayo,2051,1159
Desvelo,2019,Junio,4678,827
Repetición,2021,Agosto,1200,881
Voces,2023,Noviembre,3444,2331
Sombras del Ayer,2025,Diciembre,3062,1784
Eterno,2022,Junio,3424,3451
Caos,2017,Agosto,4625,4294
Última Vez,2024,Abril,842,553
Lluvia de Estrellas,2020,Octubre,2391,1551
Cicatrices,2023,Marzo,61,4274
Pulso Final,2022,Junio,4637,4322
Latidos,2025,Octubre,3957,4542
Voces,2015,Junio,882,3546
Pecado,2023,Julio,1055,4308
Siluetas,2018,Octubre,4432,3926
Mirada Fría,2018,Agosto,1644,702
Ecos,2022,Febrero,2994,1811
Después de Ti,2018,Junio,4263,4775
A Contraluz,2016,Diciembre,4335,3587
Siluetas,2015,Febrero,2709,4100
Voces,2021,Octubre,1100,4810
Espiral,2021,Julio,2141,3537
Tiempo Muerto,2020,Febrero,201,2515
